SpellId,Attributes
1,0
3,0
4,0
5,150994944
7,150994944
10,65536
11,262144
12,0
13,0
14,0
15,0
16,0
17,329728
18,0
19,208
22,0
24,0
25,0
26,0
27,0
31,0
33,0
34,0
35,0
43,262160
45,262160
47,16
49,0
50,0
53,327696
56,262144
58,0
59,18
60,18
61,18
65,0
66,269549568
67,0
68,0
71,151322640
72,327696
75,327698
76,327700
77,262160
78,327700
81,80
84,256
87,263188
89,65536
91,263184
94,151322624
96,328720
99,262160
100,805634064
101,327696
103,262160
107,262224
108,80
109,128
110,0
111,0
112,0
113,1073807360
114,65536
116,65536
118,1074855936
120,65536
122,1073807360
124,0
126,65536
128,0
130,65536
131,65536
132,65536
133,65536
134,0
136,65536
139,65536
142,0
143,65536
145,65536
168,65536
172,65536
179,262144
184,0
196,192
197,192
198,192
199,192
200,192
201,192
202,192
203,192
204,192
205,65536
227,192
228,65536
246,65536
255,262144
260,536870912
261,0
262,192
263,192
264,192
265,0
266,192
269,0
271,0
278,263188
279,263188
284,327700
285,327700
302,262160
308,65536
315,65536
324,327680
325,327680
331,65536
332,65536
339,1073840128
344,65536
348,65536
355,327696
365,65536
370,65536
379,0
403,65536
408,327696
409,262144
410,262144
411,262144
421,65536
424,0
427,0
428,0
430,402653440
431,402653440
432,402653440
433,402653440
434,402653440
435,402653440
436,671088640
437,671088640
438,671088640
439,671088640
440,671088640
441,671088640
442,0
443,0
444,0
445,0
446,0
447,0
448,0
450,0
451,0
453,65536
454,16
455,0
456,0
457,0
458,269582608
459,269582608
461,0
463,64
464,64
465,151322624
466,262144
467,65536
468,269582608
469,16809984
470,269582608
471,269582608
472,269582608
474,0
475,327680
476,256
477,256
478,256
479,256
480,0
481,256
482,256
483,256
484,256
485,256
486,256
487,256
488,256
489,262144
490,256
491,65536
492,256
493,256
494,256
495,256
496,256
497,256
498,327680
499,262400
500,0
501,256
502,256
503,262144
504,256
506,256
507,0
508,0
509,0
512,1073807360
513,0
514,0
515,256
517,256
518,0
519,256
520,256
521,65792
522,192
526,65536
527,65536
528,327680
529,65536
530,65536
531,256
532,256
533,256
534,256
535,256
536,256
537,256
538,256
539,65792
540,256
541,256
542,0
543,65536
544,65536
545,65536
546,65536
547,65536
548,65536
549,65536
550,65536
552,329728
553,0
554,65536
555,0
556,268500992
557,256
558,256
559,256
560,256
561,256
562,256
563,65792
564,0
565,256
566,256
567,256
568,0
569,256
570,256
571,256
573,65792
574,256
575,256
576,0
577,256
578,269582608
579,269582608
580,269582608
581,269582608
585,65536
586,327680
587,65536
588,65536
589,327680
590,0
591,65536
592,327680
593,1074069504
594,327680
595,0
596,65536
597,65536
598,65536
599,0
600,327680
601,262352
602,65536
603,65536
604,65536
605,1075118080
606,65536
607,262400
608,256
609,256
610,256
611,256
612,256
613,256
614,256
615,256
616,256
617,0
618,256
619,256
620,256
621,256
622,256
624,256
625,256
626,256
627,256
628,256
629,0
630,0
631,256
632,256
633,327680
634,0
635,65536
636,151322624
637,262144
638,0
639,65536
640,262144
641,262144
642,327680
643,151322624
644,0
645,151322624
646,262144
647,65536
648,329728
649,151322624
650,256
651,256
652,262400
653,256
654,256
655,256
656,256
657,256
658,256
659,256
660,256
661,256
662,256
663,256
664,256
665,262400
668,192
669,192
670,192
671,192
672,192
673,671088640
674,80
676,327696
677,262160
678,328708
679,328708
680,328708
682,0
684,0
685,256
686,65536
687,65536
688,65536
689,65536
690,0
691,65536
692,0
693,65536
694,327696
695,65536
696,65536
697,65536
698,268500992
699,65536
700,1074855936
701,0
702,65536
703,2555920
704,65536
705,65536
706,65536
707,65536
708,0
709,65536
710,1073807360
711,0
712,65536
713,256
714,256
715,0
718,0
719,256
720,0
721,256
722,256
723,262144
724,0
725,256
726,256
727,256
728,0
729,256
730,256
731,0
732,256
733,256
734,256
735,256
736,256
737,262144
738,0
739,67108864
740,65536
741,262400
742,80
743,437583888
744,786432
745,16
746,16
747,0
748,263184
749,263184
750,192
751,263184
752,263184
753,263184
755,65536
756,0
757,0
758,64
759,65536
761,0
762,0
763,262144
764,262144
765,65536
766,256
767,0
768,327696
769,262160
770,65536
771,1073807376
772,327696
773,65536
774,65536
775,327696
776,65536
778,65536
779,262160
780,262160
781,1376256
782,65536
783,360464
784,256
785,603979776
786,256
787,262144
788,256
789,256
790,256
791,65792
792,256
793,256
794,384
795,256
796,256
797,262400
798,262400
799,256
800,0
801,0
802,0
804,2048
805,0
806,0
812,8390912
813,192
814,192
815,192
816,192
817,192
818,268501008
819,262352
820,208
821,208
822,16
823,80
824,16777424
825,20971728
826,16777424
827,16777296
828,16777424
829,262160
830,16
831,80
833,402653440
834,671088640
835,0
836,151257472
837,65536
838,256
839,0
840,262144
841,262144
842,256
844,256
845,327700
846,256
847,262144
848,256
849,0
850,0
851,65536
852,256
853,327680
854,256
855,0
856,0
857,65536
858,256
860,256
861,0
862,256
863,262144
864,256
865,1073807360
866,256
867,0
868,0
870,256
871,327696
872,256
874,256
876,256
877,0
878,262144
879,327680
880,65792
882,256
883,65552
884,262144
885,269549568
886,256
890,256
892,256
894,256
895,0
896,0
897,0
898,0
899,65536
900,256
901,65536
902,256
903,262144
904,0
905,327680
906,256
908,256
909,65536
910,256
911,0
912,262144
913,65536
914,256
915,65536
916,0
917,0
918,256
920,256
921,196624
922,256
923,65536
924,256
926,256
928,256
930,65536
931,256
932,0
933,0
934,0
935,262400
936,256
937,0
938,262144
939,65536
940,256
943,65536
944,256
945,327680
946,256
947,0
948,262144
949,0
950,256
951,65536
952,256
955,0
956,256
957,0
958,262144
959,65536
960,256
962,65792
963,0
964,256
965,0
966,65536
967,256
968,0
969,0
970,327680
971,256
972,65536
973,256
974,0
975,256
976,65536
977,256
978,327680
979,256
980,65536
981,256
982,65536
983,256
984,65536
985,256
986,0
987,256
988,65536
989,256
990,65536
991,256
992,327680
993,256
994,0
995,0
996,65536
997,256
998,1074069504
999,256
1000,0
1001,256
1002,1114112
1003,256
1004,65536
1005,256
1006,65536
1007,256
1008,65536
1009,0
1010,65536
1011,256
1012,262400
1013,262400
1014,65536
1015,256
1017,256
1018,0
1019,0
1020,327680
1021,256
1022,327680
1023,256
1024,262144
1025,256
1026,65536
1027,256
1028,262144
1029,256
1030,262144
1031,256
1032,151322624
1033,262400
1034,329728
1035,262400
1036,327680
1037,256
1038,327680
1039,256
1042,65536
1043,256
1044,327680
1045,256
1048,262144
1049,256
1050,0
1051,262144
1052,327680
1053,256
1054,256
1055,262400
1056,65536
1057,262144
1058,65536
1059,256
1062,1073840128
1063,256
1064,65536
1065,262400
1066,327696
1069,65536
1070,256
1073,65536
1074,262144
1075,65536
1076,256
1079,262160
1082,262160
1084,0
1085,0
1086,65536
1087,256
1088,65536
1089,256
1090,1074855936
1091,256
1092,0
1093,262144
1094,65536
1095,256
1096,0
1097,0
1098,1073807360
1099,262144
1101,256
1105,256
1106,65536
1107,256
1108,65536
1109,256
1110,0
1111,262144
1112,0
1113,262144
1114,262352
1115,0
1116,262144
1117,256
1120,65537
1121,0
1122,98304
1123,262144
1124,0
1125,0
1126,65536
1127,402653440
1129,402653440
1130,67174400
1131,402653440
1132,80
1133,402653440
1134,327696
1135,402653440
1136,0
1137,402653440
1138,0
1139,0
1140,262400
1141,262400
1142,262400
1146,262400
1147,262400
1148,262400
1149,262400
1150,256
1151,262400
1152,327680
1153,256
1159,16
1160,327696
1161,327696
1163,262400
1164,262400
1165,262400
1166,262400
1167,262400
1168,262400
1169,262400
1171,262400
1172,262400
1173,262400
1174,262400
1175,262400
1176,262400
1177,536871296
1178,80
1179,65536
1180,192
1181,208
1182,208
1183,208
1184,0
1185,262400
1186,262400
1187,262400
1188,262400
1189,262400
1190,262400
1191,262400
1192,262400
1193,262400
1194,262400
1195,262400
1196,262400
1197,262400
1198,262400
1199,262400
1200,262400
1201,262400
1202,262400
1203,262400
1205,262144
1206,262400
1208,262400
1209,262400
1210,262400
1211,262400
1212,262400
1213,262400
1214,262400
1217,262400
1218,262400
1219,262400
1220,262400
1221,262400
1223,262400
1224,262400
1225,262400
1226,262400
1227,262400
1228,262400
1229,262400
1231,262400
1233,262400
1234,262400
1236,262400
1237,262400
1241,262400
1242,262400
1243,65536
1244,65536
1245,65536
1246,262400
1247,262400
1248,262400
1249,262400
1250,262400
1251,262400
1252,262400
1253,262400
1254,262400
1255,262400
1256,262400
1257,262400
1258,262400
1259,262400
1260,262400
1261,262400
1262,262400
1263,262400
1264,262400
1265,262400
1266,262400
1267,262400
1268,262400
1269,262400
1271,262400
1272,262400
1275,262400
1276,262400
1277,262400
1278,262400
1279,262400
1280,262400
1281,262400
1282,262400
1283,262400
1284,262400
1285,262400
1286,262400
1287,262400
1288,262400
1290,262400
1291,262400
1292,262400
1293,262400
1295,262400
1296,262400
1297,262400
1298,262400
1299,262400
1300,262400
1301,262400
1302,0
1303,262400
1304,262400
1305,262400
1306,262400
1307,262400
1308,262400
1309,262400
1310,262400
1311,262400
1312,262400
1313,262400
1314,262400
1315,262400
1316,262400
1318,262400
1319,262400
1320,262400
1321,262400
1322,262400
1323,262400
1324,262400
1325,262400
1326,262400
1327,262400
1328,262400
1329,262400
1330,262400
1331,262400
1332,262400
1333,262400
1336,262400
1337,262400
1338,262400
1339,262400
1340,262400
1341,262400
1342,262400
1343,262400
1344,262400
1345,262400
1348,262400
1349,262400
1350,262400
1351,262400
1352,262400
1353,262400
1354,262400
1355,262400
1356,262400
1357,262400
1358,262400
1359,262400
1360,262400
1361,262400
1362,262400
1363,262400
1364,262400
1365,262400
1366,256
1367,262400
1368,262400
1369,262400
1370,262400
1371,262400
1372,262400
1373,262400
1374,262400
1375,262400
1376,262400
1377,262400
1378,262400
1379,262400
1380,262400
1381,262400
1382,262400
1383,262400
1384,262400
1385,262400
1386,2281701632
1387,262400
1388,262400
1389,262400
1390,262400
1391,262400
1393,262400
1394,262400
1395,262400
1396,262400
1397,262400
1398,262400
1399,262400
1401,262400
1402,262400
1403,262400
1404,262400
1406,262400
1407,262400
1408,262400
1409,262400
1410,262400
1411,262400
1412,262400
1413,262400
1414,262400
1415,262400
1416,262400
1417,262400
1418,262400
1419,262400
1420,262400
1421,262400
1422,262400
1423,262400
1424,262400
1425,262400
1426,262400
1427,262400
1428,262400
1429,262400
1430,65536
1431,262400
1432,262400
1433,262400
1434,262400
1435,262400
1436,262400
1437,262400
1439,262400
1441,262400
1444,262400
1445,262400
1446,262400
1448,262400
1449,65536
1450,0
1451,0
1452,0
1453,0
1454,65536
1455,65536
1456,65536
1457,65536
1459,65536
1460,65536
1461,65536
1462,65536
1463,65536
1464,327696
1465,0
1466,0
1467,262400
1468,262400
1469,262400
1470,262400
1471,262400
1472,262400
1473,262400
1474,262400
1475,262400
1476,262400
1477,262400
1478,262400
1479,262400
1481,262400
1482,262400
1483,262400
1484,262400
1485,4259858
1490,65536
1491,327696
1492,327696
1494,151257104
1495,327680
1499,268500992
1504,18
1505,18
1506,18
1507,18
1508,18
1509,0
1510,65538
1513,1073807360
1515,65536
1516,4259858
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,65552
1535,65536
1536,18
1538,65536
1539,268435456
1540,18
1542,262160
1543,65536
1544,262400
1545,262400
1547,262400
1549,262400
1552,262400
1557,0
1558,262400
1559,262400
1560,262400
1561,262400
1563,262400
1564,262400
1567,262400
1568,262400
1571,262400
1572,262400
1573,0
1574,0
1575,262400
1579,262400
1580,262400
1581,262400
1582,262400
1583,262400
1584,262400
1588,262400
1589,262400
1590,262400
1591,262400
1592,262400
1593,262400
1598,262400
1599,262400
1602,262400
1603,262400
1604,16
1605,262400
1606,262400
1607,262400
1608,327700
1609,1044
1610,262400
1611,262400
1612,262400
1628,263188
1629,263184
1630,262400
1631,262400
1632,262400
1633,262400
1634,262400
1635,263188
1640,262400
1645,263184
1646,262400
1647,262400
1648,263184
1650,262400
1663,263184
1664,263184
1665,263184
1666,262400
1667,262400
1668,262400
1669,262400
1670,262400
1671,327696
1672,327696
1675,262400
1676,262400
1677,262400
1680,327696
1685,262400
1698,262160
1702,262400
1706,65536
1707,65536
1708,263184
1709,263184
1710,262400
1711,262400
1712,262400
1713,262400
1714,65536
1715,327696
1716,262400
1719,327696
1722,262400
1725,1074003984
1728,262400
1731,263184
1732,263184
1733,262400
1734,262400
1735,262160
1736,262400
1737,262400
1738,262400
1739,16
1740,262400
1741,262400
1742,65536
1747,262400
1748,262400
1749,262400
1750,262400
1751,262400
1752,327696
1753,65536
1754,65536
1755,65536
1756,65536
1757,327696
1758,327696
1759,327696
1760,327696
1761,262400
1762,262400
1763,262400
1764,262400
1765,262400
1766,327696
1767,327696
1768,327696
1769,327696
1770,262164
1771,262400
1772,262400
1773,262400
1774,262400
1775,262400
1776,1376272
1777,1376272
1780,262400
1781,262400
1784,437583888
1785,437583888
1786,437583888
1787,437583888
1789,262400
1790,262400
1791,262400
1792,262400
1794,262164
1795,262164
1796,262164
1797,262164
1798,262164
1799,262400
1800,262400
1801,262400
1802,262400
1803,262400
1804,65552
1805,16
1806,16
1809,262400
1810,262400
1811,262400
1812,263184
1813,263184
1814,263184
1815,263184
1817,262400
1818,262400
1819,262400
1820,262400
1821,262400
1822,262160
1823,262160
1824,262160
1825,327696
1826,384
1827,262400
1828,262400
1829,262400
1830,262400
1831,262400
1833,2555920
1834,327952
1837,262400
1838,262400
1839,262400
1842,65552
1843,16
1844,16
1845,262400
1846,262400
1847,262400
1848,256
1849,65536
1850,262160
1851,262400
1852,67108864
1853,262400
1856,135594000
1857,135594000
1858,262400
1859,262400
1860,262224
1862,262400
1864,34865168
1865,262400
1866,328708
1868,262160
1869,262160
1870,262160
1872,262400
1873,262400
1874,262400
1875,262400
1876,262400
1877,262400
1878,262400
1879,262400
1880,262400
1881,0
1882,262400
1883,262400
1884,262400
1885,262400
1886,262400
1887,262400
1888,262400
1889,262400
1890,262400
1891,262400
1893,262400
1894,262400
1895,262400
1896,262400
1897,262400
1898,262400
1900,262400
1901,262400
1902,262400
1904,262400
1905,8388864
1906,0
1907,262400
1908,0
1909,262400
1911,262400
1912,262400
1913,262400
1914,262400
1915,262400
1916,262400
1918,263184
1919,262352
1920,263184
1921,263184
1922,263184
1923,262400
1924,262400
1925,262400
1926,262400
1927,262400
1928,262400
1929,262400
1930,262400
1931,262400
1932,262400
1933,262160
1934,262424
1935,262424
1936,0
1937,262400
1938,262400
1940,0
1941,65536
1942,262400
1943,327696
1944,262400
1945,65536
1946,262400
1947,0
1948,262400
1949,65536
1950,262400
1952,262400
1953,65536
1954,262400
1955,4194322
1956,4194322
1957,4194322
1958,4194322
1959,4194322
1960,4456466
1963,18
1964,18
1965,18
1966,327696
1967,18
1968,18
1969,18
1970,18
1971,18
1972,18
1973,18
1975,18
1976,18
1977,18
1978,65538
1979,4456466
1980,18
1981,262400
1982,262400
1983,262400
1984,262400
1985,262400
1988,262400
1989,262400
1990,262400
1991,262400
1992,262400
1993,262400
1994,262400
1995,262400
1996,262400
1997,262400
1998,262400
2000,262400
2001,262400
2002,262400
2003,262400
2004,262400
2005,262400
2006,268500992
2008,268500992
2010,268500992
2011,65536
2013,262400
2014,262400
2016,262400
2017,262400
2018,65552
2020,262400
2021,256
2022,134545728
2023,671088640
2024,671088640
2048,0
2049,262400
2050,65536
2051,262400
2052,65536
2053,65536
2054,65536
2055,65536
2056,262400
2057,262400
2058,262400
2059,262400
2060,65536
2061,65536
2062,0
2063,0
2064,0
2065,262400
2066,262400
2067,262400
2068,262400
2069,262400
2070,1077346320
2075,262400
2076,262400
2090,65536
2091,65536
2092,262400
2093,262400
2094,1074855952
2095,208
2096,67174400
2097,262400
2098,327696
2108,65552
2110,262340
2111,0
2112,0
2113,0
2115,262400
2116,262400
2117,262400
2118,262400
2119,262400
2120,65536
2121,65536
2123,262352
2124,262400
2125,262400
